               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.034192,            0.011531,            0.032443,             0.40483,             0.27135,             0.24085,             0.13453,            0.029576,           0.0055974,            0.027705,           0.0098405,           0.0098405,           0.0098405
                  36,            0.034199,            0.011547,            0.032248,             0.42355,              0.2809,             0.25712,             0.14159,            0.029365,            0.005521,            0.026931,            0.009831,            0.009831,            0.009831
                  37,            0.033773,            0.011638,            0.032068,             0.43539,              0.2874,             0.25613,             0.14274,            0.029181,           0.0054782,            0.027081,           0.0098213,           0.0098213,           0.0098213
                  38,            0.034191,            0.011525,            0.031682,             0.42912,             0.30981,             0.26521,             0.14759,            0.029008,           0.0053364,            0.026471,           0.0098113,           0.0098113,           0.0098113
                  39,            0.034063,            0.011515,            0.031272,             0.44177,             0.30485,             0.28023,             0.15506,             0.02857,           0.0054612,            0.025986,           0.0098011,           0.0098011,           0.0098011
                  40,            0.033881,            0.011506,            0.031097,             0.44309,             0.30338,             0.27167,             0.15068,            0.028466,           0.0054039,            0.026316,           0.0097905,           0.0097905,           0.0097905
                  41,             0.03382,            0.011449,            0.030739,             0.45532,             0.30896,             0.28311,             0.15898,            0.028466,           0.0053981,            0.026126,           0.0097798,           0.0097798,           0.0097798
                  42,            0.034153,            0.011359,            0.030782,             0.41352,              0.3286,             0.28645,             0.15945,            0.028841,           0.0053367,            0.025506,           0.0097687,           0.0097687,           0.0097687
                  43,            0.033938,            0.011334,              0.0302,             0.43998,             0.34381,             0.29532,             0.16443,            0.028069,           0.0052756,            0.025094,           0.0097574,           0.0097574,           0.0097574
                  44,            0.033834,            0.011323,            0.029789,             0.41179,             0.34274,              0.3016,             0.16936,            0.027838,            0.005271,            0.024957,           0.0097458,           0.0097458,           0.0097458
                  45,            0.033769,            0.011275,            0.029829,             0.39441,             0.34185,             0.30359,              0.1716,            0.028269,           0.0052739,            0.025207,            0.009734,            0.009734,            0.009734
                  46,            0.033639,            0.011202,            0.029541,             0.41421,             0.34668,             0.31812,             0.18256,            0.028049,           0.0052433,            0.024797,           0.0097219,           0.0097219,           0.0097219
                  47,            0.033845,            0.011297,            0.029077,             0.41632,             0.36474,             0.32398,             0.18375,            0.027925,           0.0052334,            0.024528,           0.0097095,           0.0097095,           0.0097095
                  48,            0.033474,            0.011215,            0.028979,             0.39717,             0.36036,             0.31903,             0.18296,            0.027747,           0.0052842,            0.024476,           0.0096969,           0.0096969,           0.0096969
                  49,            0.033554,             0.01122,            0.029136,             0.41527,             0.36679,             0.32399,             0.18441,            0.027588,           0.0052393,            0.024189,            0.009684,            0.009684,            0.009684
                  50,            0.033805,            0.011209,            0.029406,             0.43516,             0.37385,             0.32962,             0.18828,            0.027679,           0.0051992,            0.024299,           0.0096709,           0.0096709,           0.0096709
                  51,            0.033625,            0.011178,            0.028516,             0.42691,             0.38506,             0.33993,             0.19583,            0.027806,           0.0051928,            0.024143,           0.0096575,           0.0096575,           0.0096575
                  52,            0.033785,            0.011164,            0.028472,             0.44543,             0.38984,             0.33304,             0.18884,            0.027896,           0.0052163,            0.024052,           0.0096438,           0.0096438,           0.0096438
                  53,             0.03365,             0.01118,            0.028082,             0.41594,             0.38154,             0.33398,             0.19007,            0.027609,           0.0051915,            0.024175,           0.0096299,           0.0096299,           0.0096299
                  54,            0.033571,            0.011167,            0.028162,             0.42481,             0.40482,              0.3429,             0.19647,            0.027345,           0.0051356,            0.023804,           0.0096157,           0.0096157,           0.0096157
                  55,            0.033645,            0.011213,            0.028309,             0.42512,             0.39174,             0.34865,             0.20101,             0.02713,           0.0051377,            0.023833,           0.0096013,           0.0096013,           0.0096013
                  56,            0.033532,            0.010948,            0.028393,             0.43976,             0.41283,              0.3586,             0.20626,             0.02727,           0.0051344,            0.023339,           0.0095866,           0.0095866,           0.0095866
                  57,            0.033422,            0.011095,            0.028136,             0.40835,              0.4209,             0.36242,             0.20881,            0.027322,           0.0051194,            0.023326,           0.0095717,           0.0095717,           0.0095717
                  58,            0.033522,            0.011078,            0.027793,             0.40343,             0.43492,             0.36408,             0.21241,            0.027283,           0.0051145,             0.02338,           0.0095565,           0.0095565,           0.0095565
                  59,            0.033548,            0.011131,            0.027613,             0.40805,             0.41609,              0.3673,             0.21331,            0.027362,           0.0051147,            0.023267,           0.0095411,           0.0095411,           0.0095411
                  60,            0.033575,            0.010988,            0.027656,             0.42914,             0.42304,             0.36827,             0.21381,            0.027382,           0.0050882,            0.022855,           0.0095255,           0.0095255,           0.0095255
                  61,            0.033451,            0.011034,            0.027157,             0.41168,             0.41514,             0.37459,             0.21808,            0.027243,           0.0050846,            0.023064,           0.0095095,           0.0095095,           0.0095095
                  62,            0.033539,               0.011,            0.027114,             0.44229,             0.42172,             0.37483,             0.21866,            0.027063,           0.0050692,             0.02318,           0.0094934,           0.0094934,           0.0094934
                  63,            0.033504,            0.010916,            0.027353,             0.46024,             0.41103,             0.37849,             0.21963,            0.027007,           0.0050674,            0.022796,           0.0094769,           0.0094769,           0.0094769
                  64,            0.033397,            0.010916,            0.027128,             0.45621,             0.42729,             0.37976,              0.2203,            0.026996,           0.0050539,            0.022867,           0.0094603,           0.0094603,           0.0094603
                  65,            0.033614,            0.011035,            0.027025,             0.45623,             0.41461,             0.38274,             0.22344,             0.02699,           0.0050503,            0.022936,           0.0094434,           0.0094434,           0.0094434
                  66,            0.033373,            0.011024,            0.026692,             0.47092,             0.40989,             0.38653,             0.22698,            0.026985,           0.0050555,             0.02299,           0.0094262,           0.0094262,           0.0094262
                  67,            0.033203,            0.010873,            0.026506,             0.42516,             0.42547,             0.39059,             0.22924,            0.026842,           0.0050524,            0.022901,           0.0094088,           0.0094088,           0.0094088
                  68,            0.033313,            0.010835,             0.02643,             0.44825,             0.42514,             0.39598,             0.23318,             0.02681,           0.0050562,            0.022842,           0.0093912,           0.0093912,           0.0093912
                  69,            0.033549,            0.010902,            0.026113,             0.44881,             0.42017,             0.39992,             0.23523,            0.026699,            0.005055,            0.022735,           0.0093733,           0.0093733,           0.0093733
                  70,            0.033244,            0.010857,            0.025597,              0.4625,             0.42398,             0.40287,             0.23641,            0.026697,           0.0050529,            0.022684,           0.0093552,           0.0093552,           0.0093552
                  71,            0.033426,            0.010789,            0.026172,             0.46384,             0.42979,             0.40635,             0.23949,            0.026626,           0.0050431,            0.022711,           0.0093369,           0.0093369,           0.0093369
                  72,            0.033332,            0.010813,            0.025858,             0.45023,             0.43917,             0.40644,             0.23862,            0.026627,           0.0050357,            0.022611,           0.0093183,           0.0093183,           0.0093183
                  73,            0.033365,            0.010834,            0.026011,             0.45228,             0.44081,             0.40767,             0.23872,            0.026581,             0.00503,            0.022617,           0.0092995,           0.0092995,           0.0092995
                  74,            0.033019,            0.010774,            0.025637,             0.44067,             0.45214,               0.411,             0.24143,            0.026546,            0.005022,            0.022586,           0.0092804,           0.0092804,           0.0092804
                  75,             0.03337,            0.010811,            0.025806,             0.43855,             0.45573,             0.41083,              0.2413,            0.026569,           0.0050152,            0.022541,           0.0092611,           0.0092611,           0.0092611
                  76,             0.03389,            0.010911,            0.025825,              0.4449,              0.4474,             0.41162,             0.24216,             0.02649,           0.0050106,            0.022546,           0.0092416,           0.0092416,           0.0092416
                  77,            0.033142,            0.010745,            0.025271,             0.44349,             0.45067,             0.41248,             0.24253,             0.02643,            0.005008,            0.022565,           0.0092219,           0.0092219,           0.0092219
                  78,            0.033441,            0.010694,            0.025669,              0.4382,             0.45664,             0.41537,             0.24413,            0.026438,           0.0050085,            0.022514,           0.0092019,           0.0092019,           0.0092019
                  79,            0.033262,            0.010742,            0.025265,             0.43303,             0.46897,             0.41889,             0.24734,            0.026469,           0.0050051,             0.02247,           0.0091817,           0.0091817,           0.0091817
                  80,            0.033398,            0.010749,            0.025894,             0.43026,             0.47275,             0.41944,             0.24697,            0.026401,           0.0050036,            0.022457,           0.0091612,           0.0091612,           0.0091612
                  81,            0.033324,            0.010692,            0.025228,             0.42272,             0.47554,             0.42239,             0.24915,            0.026355,           0.0049971,            0.022472,           0.0091406,           0.0091406,           0.0091406
                  82,            0.033157,            0.010795,            0.025593,             0.40135,             0.48291,             0.42329,             0.25016,            0.026332,           0.0049948,            0.022467,           0.0091197,           0.0091197,           0.0091197
                  83,            0.032972,            0.010769,            0.024769,             0.40291,             0.48139,             0.42646,             0.25285,            0.026351,           0.0049917,            0.022416,           0.0090986,           0.0090986,           0.0090986
                  84,              0.0333,            0.010797,            0.024842,             0.40349,              0.4818,             0.43028,             0.25617,            0.026313,           0.0049867,             0.02231,           0.0090772,           0.0090772,           0.0090772
                  85,            0.033294,            0.010746,            0.025181,             0.40406,             0.48171,             0.42797,             0.25515,            0.026362,           0.0049802,            0.022299,           0.0090557,           0.0090557,           0.0090557
                  86,            0.033403,            0.010713,            0.025136,             0.40623,             0.48066,             0.42815,             0.25546,            0.026344,           0.0049798,            0.022298,           0.0090339,           0.0090339,           0.0090339
                  87,            0.033493,            0.010643,            0.025469,             0.40934,              0.4778,             0.42888,             0.25577,            0.026344,           0.0049787,            0.022266,           0.0090119,           0.0090119,           0.0090119
                  88,            0.033555,            0.010716,            0.025227,             0.41106,             0.47537,             0.43094,             0.25785,            0.026321,           0.0049782,            0.022279,           0.0089897,           0.0089897,           0.0089897
                  89,            0.033134,            0.010707,            0.024748,              0.4113,             0.47655,             0.43205,             0.25802,            0.026322,           0.0049781,            0.022255,           0.0089673,           0.0089673,           0.0089673
                  90,            0.033195,            0.010624,            0.024868,              0.4272,             0.47482,             0.43227,             0.25835,            0.026316,           0.0049763,            0.022235,           0.0089447,           0.0089447,           0.0089447
                  91,            0.033263,            0.010577,            0.024463,             0.42517,             0.47432,             0.43431,             0.25923,            0.026322,           0.0049759,            0.022196,           0.0089218,           0.0089218,           0.0089218
                  92,            0.033382,            0.010601,            0.024156,             0.43272,             0.47674,             0.43641,             0.26041,            0.026304,           0.0049716,            0.022177,           0.0088988,           0.0088988,           0.0088988
                  93,            0.032997,            0.010619,            0.024492,             0.43376,             0.47882,             0.43595,             0.26053,            0.026296,           0.0049654,            0.022169,           0.0088755,           0.0088755,           0.0088755
                  94,            0.033488,             0.01056,             0.02468,              0.4346,             0.47431,             0.43719,             0.26159,            0.026298,            0.004964,            0.022159,            0.008852,            0.008852,            0.008852
                  95,            0.032848,            0.010542,            0.024468,             0.43894,             0.47154,             0.43835,             0.26207,            0.026279,           0.0049618,            0.022118,           0.0088283,           0.0088283,           0.0088283
                  96,            0.033284,            0.010564,            0.024559,             0.43806,             0.47524,             0.43991,             0.26324,            0.026243,           0.0049613,            0.022074,           0.0088045,           0.0088045,           0.0088045
                  97,            0.033518,            0.010566,            0.024376,             0.44354,             0.47057,             0.44086,             0.26375,            0.026214,           0.0049607,            0.022054,           0.0087804,           0.0087804,           0.0087804
